,0
0,1892
1,3114
2,12559
3,15893
4,22005
5,41965
6,42170
7,42529
8,42973
9,43070
10,43108
11,43115
12,43715
13,44219
14,44259
15,44282
16,44297
17,44565
18,46411
19,47501
20,47571
21,47977
22,48295
23,48871
24,49907
25,50108
26,50381
27,50449
28,50602
29,51273
30,51579
31,51779
32,51924
33,51943
34,52319
35,52863
36,52992
37,53451
38,53912
39,53982
40,54057
41,54414
42,54955
43,54979
44,55083
45,55287
46,55456
47,55555
48,55641
49,55904
50,56039
51,56181
52,56210
53,56463
54,56501
55,56513
56,56737
57,56787
58,56997
59,57162
60,57255
61,57319
62,57499
63,57521
64,57704
65,57709
66,58075
67,58097
68,58563
69,58572
70,58758
71,58881
72,59059
73,59304
74,60834
75,64432
76,66584
77,70261
78,70281
79,70373
80,70447
81,70520
82,70583
83,70608
84,70732
85,70738
86,70790
87,70811
88,70964
89,71189
90,72025
91,72505
92,72973
93,73011
94,73745
95,73921
96,74279
97,74924
98,74946
99,75270
100,75434
101,75454
102,75523
103,82106
104,82158
105,82300
106,82724
107,82944
108,83451
109,83963
110,83966
111,84285
112,85045
113,85245
114,85517
115,85646
116,85750
117,86598
118,87053
119,87207
120,87481
121,87563
122,88017
123,88034
124,89954
125,89958
126,90197
127,90205
128,90343
129,90362
130,90747
131,90926
132,91096
133,91405
134,92321
135,92335
136,92386
137,92519
138,92798
139,92845
140,92897
141,93067
142,93564
143,93990
144,94510
145,95047
146,95055
147,95728
148,95887
149,96063
150,96123
151,96577
152,96633
153,96739
154,97925
155,99094
156,99224
157,99503
158,99682
159,100109
160,100336
161,100397
162,101362
163,101420
164,101545
165,101560
166,101563
167,101595
168,101989
169,102175
170,102333
171,102381
172,102838
173,102862
174,103176
175,103246
176,103819
177,104085
178,104114
179,104474
180,104915
181,105083
182,105468
183,105634
184,105714
185,106315
186,106555
187,107127
188,107980
189,108099
190,108144
191,108789
192,108794
193,108841
194,109284
195,109523
196,109705
197,110633
198,110922
199,111005
200,112271
201,112902
202,113197
203,113256
204,113526
205,113539
206,113685
207,113819
208,113880
209,113891
210,113904
211,113958
212,114150
213,114174
214,114206
215,114211
216,114217
217,114360
218,114593
219,115284
220,116736
221,116919
222,117196
223,117477
224,117484
225,117748
226,118669
227,118987
228,119012
229,119036
230,119297
231,119859
232,119942
233,120143
234,120307
235,120384
236,120585
237,120939
238,120941
239,121679
240,121779
241,121987
242,122029
243,122136
244,122674
245,122712
246,123057
247,123152
248,123343
249,123858
250,123960
251,124026
252,124619
253,124649
254,124790
255,124845
256,124891
257,124937
258,125125
259,125273
260,125280
261,125286
262,125335
263,125526
264,125536
265,125557
266,126252
267,126714
268,126914
269,127022
270,127037
271,127150
272,127209
273,127616
274,127643
275,127656
276,128214
277,128215
278,128386
279,128454
280,128580
281,129004
282,129226
283,129357
284,129783
285,129985
286,129987
287,129996
288,130090
289,130157
290,130215
291,130547
292,131127
293,131334
294,131351
295,131360
296,131466
297,131473
298,131804
299,131924
300,131928
301,132108
302,132199
303,132325
304,132358
305,132526
306,132684
307,132779
308,132893
309,133063
310,133128
311,133218
312,133449
313,134045
314,134143
315,134214
316,134345
317,134673
318,134817
319,134885
320,134949
321,135071
322,135126
323,135213
324,135215
325,135253
326,135285
327,135490
328,135629
329,135630
330,135673
331,135701
332,135990
333,136250
334,136293
335,136415
336,136483
337,136510
338,136610
339,136622
340,136738
341,136842
342,137047
343,137165
344,137202
345,137251
346,137254
347,137345
348,137362
349,137565
350,138127
351,138482
352,138630
353,138816
354,138820
355,138858
356,138863
357,138872
358,138972
359,139177
360,139185
361,139698
362,139711
363,139719
364,139722
365,139776
366,139839
367,139914
368,139915
369,139984
370,140158
371,140288
372,140551
373,140590
374,140722
375,140786
376,140834
377,140851
378,140931
379,140937
380,141012
381,141082
382,141095
383,141173
384,141311
385,141333
386,141457
387,141622
388,141624
389,141684
390,141799
391,142059
